Cluster size,frequency,foTM
108,9.397416754549915e-05,0.0020196143617021278
109,3.132472251516639e-05,0.0006794381648936171
110,3.132472251516639e-05,0.0006856715425531915
111,6.264944503033278e-05,0.0013838098404255319
113,6.264944503033278e-05,0.0014087433510638298
114,2.088314834344426e-05,0.00047373670212765955
115,5.2207870858610644e-05,0.0011947307180851063
116,3.132472251516639e-05,0.0007230718085106383
117,7.30910192020549e-05,0.0017017121010638298
118,4.176629668688852e-05,0.0009807180851063829
119,7.30910192020549e-05,0.0017308011968085106
120,6.264944503033278e-05,0.0014960106382978723
121,4.176629668688852e-05,0.0010056515957446808
122,4.176629668688852e-05,0.0010139627659574468
123,5.2207870858610644e-05,0.001277842420212766
124,1.044157417172213e-05,0.0002576462765957447
125,2.088314834344426e-05,0.0005194481382978723
126,4.176629668688852e-05,0.0010472074468085106
127,3.132472251516639e-05,0.0007916389627659575
128,1.044157417172213e-05,0.00026595744680851064
129,3.132472251516639e-05,0.0008041057180851064
130,4.176629668688852e-05,0.0010804521276595745
131,2.088314834344426e-05,0.0005443816489361702
132,3.132472251516639e-05,0.0008228058510638299
133,4.176629668688852e-05,0.0011053856382978724
134,6.264944503033278e-05,0.0016705452127659575
135,3.132472251516639e-05,0.0008415059840425533
136,2.088314834344426e-05,0.0005651595744680851
137,3.132472251516639e-05,0.000853972739361702
138,3.132472251516639e-05,0.0008602061170212765
139,2.088314834344426e-05,0.000577626329787234
140,2.088314834344426e-05,0.000581781914893617
141,1.044157417172213e-05,0.00029296875
142,4.176629668688852e-05,0.001180186170212766
143,5.2207870858610644e-05,0.0014856216755319148
144,3.132472251516639e-05,0.0008976063829787234
145,4.176629668688852e-05,0.0012051196808510638
146,3.132472251516639e-05,0.0009100731382978724
147,6.264944503033278e-05,0.0018326130319148938
148,6.264944503033278e-05,0.0018450797872340426
150,5.2207870858610644e-05,0.001558344414893617
151,2.088314834344426e-05,0.0006274933510638298
152,1.044157417172213e-05,0.0003158244680851064
153,1.044157417172213e-05,0.0003179022606382979
154,3.132472251516639e-05,0.0009599401595744681
155,2.088314834344426e-05,0.0006441156914893617
156,1.044157417172213e-05,0.0003241356382978723
157,4.176629668688852e-05,0.0013048537234042553
158,1.044157417172213e-05,0.0003282912234042553
159,2.088314834344426e-05,0.0006607380319148936
160,5.2207870858610644e-05,0.0016622340425531915
161,2.088314834344426e-05,0.0006690492021276596
162,2.088314834344426e-05,0.0006732047872340425
164,2.088314834344426e-05,0.0006815159574468085
165,2.088314834344426e-05,0.0006856715425531915
166,3.132472251516639e-05,0.0010347406914893618
167,2.088314834344426e-05,0.0006939827127659575
168,2.088314834344426e-05,0.0006981382978723405
169,1.044157417172213e-05,0.0003511469414893617
170,1.044157417172213e-05,0.0003532247340425532
171,2.088314834344426e-05,0.0007106050531914894
172,1.044157417172213e-05,0.00035738031914893614
174,1.044157417172213e-05,0.00036153590425531913
175,1.044157417172213e-05,0.0003636136968085106
177,4.176629668688852e-05,0.0014710771276595744
178,1.044157417172213e-05,0.0003698470744680851
182,2.088314834344426e-05,0.0007563164893617021
185,2.088314834344426e-05,0.0007687832446808511
186,1.044157417172213e-05,0.00038646941489361704
187,1.044157417172213e-05,0.00038854720744680853
189,2.088314834344426e-05,0.000785405585106383
190,3.132472251516639e-05,0.0011843417553191488
191,2.088314834344426e-05,0.0007937167553191489
192,1.044157417172213e-05,0.00039893617021276594
193,1.044157417172213e-05,0.00040101396276595743
194,1.044157417172213e-05,0.0004030917553191489
199,1.044157417172213e-05,0.0004134807180851064
202,1.044157417172213e-05,0.00041971409574468086
203,1.044157417172213e-05,0.00042179188829787235
206,1.044157417172213e-05,0.00042802526595744683
208,1.044157417172213e-05,0.00043218085106382976
211,1.044157417172213e-05,0.00043841422872340424
212,2.088314834344426e-05,0.0008809840425531915
213,1.044157417172213e-05,0.0004425698138297872
216,2.088314834344426e-05,0.0008976063829787234
218,1.044157417172213e-05,0.0004529587765957447
220,1.044157417172213e-05,0.00045711436170212767
234,1.044157417172213e-05,0.0004862034574468085
236,1.044157417172213e-05,0.0004903590425531914
238,1.044157417172213e-05,0.0004945146276595744
242,1.044157417172213e-05,0.0005028257978723404
245,1.044157417172213e-05,0.0005090591755319149
249,1.044157417172213e-05,0.0005173703457446809
260,2.088314834344426e-05,0.0010804521276595745
270,1.044157417172213e-05,0.0005610039893617022
275,1.044157417172213e-05,0.0005713929521276596
276,1.044157417172213e-05,0.000573470744680851
278,1.044157417172213e-05,0.000577626329787234
285,1.044157417172213e-05,0.0005921708776595745
299,1.044157417172213e-05,0.0006212599734042553
317,1.044157417172213e-05,0.0006586602393617022
376,2.088314834344426e-05,0.0015625
391,1.044157417172213e-05,0.0008124168882978724
419,1.044157417172213e-05,0.000870595079787234
