Time (ms),ACS,ACO,std_ACO
0.0,1.0,1.0,0.0
1.0,4.7167473046503945,35.28035937500001,12.8795825795932
2.0,4.950233536337674,33.42470312499999,11.012494326170414
3.0,4.9439923250628794,29.651828124999987,10.006632363710137
4.0,5.011392842884951,32.544734375,15.452112448903062
5.0,5.019913812390036,29.861656250000006,10.60869006538132
6.0,4.968395285150071,29.504265625000002,10.393865229872288
7.0,4.881778828696231,28.186125000000008,9.958169704384842
8.0,4.983624089528524,28.7850625,10.723706271038013
9.000000000000002,4.97752104823759,29.940890624999994,12.81164199690978
10.0,5.031140401197749,31.283781249999993,11.857474771140868
11.0,5.024960262476416,31.003421874999987,9.448107730248056
12.0,5.027548034813958,31.453578125000003,12.689216300352776
13.000000000000002,5.00750698068534,31.306796874999996,15.299350409985694
14.0,5.040778084658284,30.47518750000001,9.992145722352069
15.0,5.037906762172718,32.55665625000002,12.632563182875275
16.0,5.091523825212528,32.891671875,13.739345829798832
17.0,4.9447563449954455,31.670828125,11.493134348857525
18.000000000000004,4.954978607762217,32.329156250000004,13.683715639123125
19.0,5.036662435363067,32.31862500000001,12.929791460458189
20.0,5.050259931082123,33.06246874999999,12.536073678019854
21.0,5.048769137763899,33.240874999999996,17.07275528248287
22.0,5.07283130687067,34.96396875000001,13.23586201212832
23.0,5.0980871220690025,35.26470312499999,15.63749396278954
24.0,5.000707957376464,33.411625,11.704802162700949
25.0,5.02683842802103,32.027828125,14.24260955850046
26.000000000000004,5.010990808906038,34.405671874999996,13.813667637749257
27.0,5.064923802433077,35.78215625,14.723507304401814
28.0,5.093169395603979,37.394703125,17.545728144420792
29.0,5.102276764502147,35.7199375,14.507828456709051
30.0,5.049168430590994,35.851296874999996,20.883738437028015
31.0,5.028247130716602,33.029984375000005,14.748073993187889
32.0,5.003825202995041,33.691046875,14.146639540740914
33.0,5.080908575331939,35.65639062499999,17.095826060936936
34.0,5.094736142011134,33.75939062500001,15.380821943795723
35.0,5.0267598953382056,32.687937500000004,14.403357618877122
36.00000000000001,5.013372949424595,32.931671875,12.072582187202041
37.0,5.034778427968186,34.293187500000016,16.57875736676823
38.0,5.06484824356955,38.329499999999996,25.768867413933325
39.0,5.030323760873735,33.639812500000005,16.51958230658343
40.0,5.049924914113828,32.916078125000006,15.051524916410505
