TotalTime	0.04
dtimage	0.005
xsize	100.0
ysize	100.0
z_outside	10.0
z_inside	100.0

SCENE
SceneNumber	0	CurrentTime	0.0
ID	100000002	1.0	ORANGE	47.930792	-72.624676	30.949986
ID	100000010	1.0	MAGENTA	47.930792	-72.624676	54.949986
ID	100000003	1.0	ORANGE	47.930792	-72.624676	33.949986
ID	100000011	1.0	ORANGE	47.930792	-72.624676	57.949986
ID	100000001	1.0	MAGENTA	47.930792	-72.624676	27.949986
ID	100000000	1.0	ORANGE	47.930792	-72.624676	24.949986
ID	100000008	1.0	ORANGE	47.930792	-72.624676	48.949986
ID	100000006	1.0	ORANGE	47.930792	-72.624676	42.949986
ID	100000007	1.0	MAGENTA	47.930792	-72.624676	45.949986
ID	100000014	1.0	ORANGE	47.930792	-72.624676	66.949986
ID	100000012	1.0	ORANGE	47.930792	-72.624676	60.949986
ID	100000009	1.0	ORANGE	47.930792	-72.624676	51.949986
ID	100000013	1.0	MAGENTA	47.930792	-72.624676	63.949986
ID	100000005	1.0	ORANGE	47.930792	-72.624676	39.949986
ID	100000004	1.0	MAGENTA	47.930792	-72.624676	36.949986
ID	100010009	1.0	ORANGE	93.644712	-82.419054	59.715936
ID	100010010	1.0	MAGENTA	93.644712	-82.419054	62.715936
ID	100010008	1.0	ORANGE	93.644712	-82.419054	56.715936
ID	100010012	1.0	ORANGE	93.644712	-82.419054	68.715936
ID	100010000	1.0	ORANGE	93.644712	-82.419054	32.715936
ID	100010003	1.0	ORANGE	93.644712	-82.419054	41.715936
ID	100010013	1.0	MAGENTA	93.644712	-82.419054	71.715936
ID	100010005	1.0	ORANGE	93.644712	-82.419054	47.715936
ID	100010004	1.0	MAGENTA	93.644712	-82.419054	44.715936
ID	100010002	1.0	ORANGE	93.644712	-82.419054	38.715936
ID	100010006	1.0	ORANGE	93.644712	-82.419054	50.715936
ID	100010011	1.0	ORANGE	93.644712	-82.419054	65.715936
ID	100010014	1.0	ORANGE	93.644712	-82.419054	74.715936
ID	100010001	1.0	MAGENTA	93.644712	-82.419054	35.715936
ID	100010007	1.0	MAGENTA	93.644712	-82.419054	53.715936
ID	100020001	1.0	MAGENTA	88.573923	30.799947	36.036581
ID	100020005	1.0	ORANGE	88.573923	30.799947	48.036581
ID	100020004	1.0	MAGENTA	88.573923	30.799947	45.036581
ID	100020003	1.0	ORANGE	88.573923	30.799947	42.036581
ID	100020013	1.0	MAGENTA	88.573923	30.799947	72.036581
ID	100020007	1.0	MAGENTA	88.573923	30.799947	54.036581
ID	100020002	1.0	ORANGE	88.573923	30.799947	39.036581
ID	100020012	1.0	ORANGE	88.573923	30.799947	69.036581
ID	100020014	1.0	ORANGE	88.573923	30.799947	75.036581
ID	100020000	1.0	ORANGE	88.573923	30.799947	33.036581
ID	100020010	1.0	MAGENTA	88.573923	30.799947	63.036581
ID	100020011	1.0	ORANGE	88.573923	30.799947	66.036581
ID	100020008	1.0	ORANGE	88.573923	30.799947	57.036581
ID	100020009	1.0	ORANGE	88.573923	30.799947	60.036581
ID	100020006	1.0	ORANGE	88.573923	30.799947	51.036581
ID	100030000	1.0	ORANGE	-0.564004	-61.723179	25.093772
ID	100030014	1.0	ORANGE	-0.564004	-61.723179	67.093772
ID	100030002	1.0	ORANGE	-0.564004	-61.723179	31.093772
ID	100030001	1.0	MAGENTA	-0.564004	-61.723179	28.093772
ID	100030010	1.0	MAGENTA	-0.564004	-61.723179	55.093772
ID	100030003	1.0	ORANGE	-0.564004	-61.723179	34.093772
ID	100030009	1.0	ORANGE	-0.564004	-61.723179	52.093772
ID	100030012	1.0	ORANGE	-0.564004	-61.723179	61.093772
ID	100030008	1.0	ORANGE	-0.564004	-61.723179	49.093772
ID	100030007	1.0	MAGENTA	-0.564004	-61.723179	46.093772
ID	100030013	1.0	MAGENTA	-0.564004	-61.723179	64.093772
ID	100030004	1.0	MAGENTA	-0.564004	-61.723179	37.093772
ID	100030006	1.0	ORANGE	-0.564004	-61.723179	43.093772
ID	100030005	1.0	ORANGE	-0.564004	-61.723179	40.093772
ID	100030011	1.0	ORANGE	-0.564004	-61.723179	58.093772
ID	100040001	1.0	MAGENTA	0.985302	76.388175	22.591573
ID	100040010	1.0	MAGENTA	0.985302	76.388175	49.591573
ID	100040000	1.0	ORANGE	0.985302	76.388175	19.591573
ID	100040014	1.0	ORANGE	0.985302	76.388175	61.591573
ID	100040006	1.0	ORANGE	0.985302	76.388175	37.591573
ID	100040004	1.0	MAGENTA	0.985302	76.388175	31.591573
ID	100040013	1.0	MAGENTA	0.985302	76.388175	58.591573
ID	100040003	1.0	ORANGE	0.985302	76.388175	28.591573
ID	100040011	1.0	ORANGE	0.985302	76.388175	52.591573
ID	100040007	1.0	MAGENTA	0.985302	76.388175	40.591573
ID	100040012	1.0	ORANGE	0.985302	76.388175	55.591573
ID	100040009	1.0	ORANGE	0.985302	76.388175	46.591573
ID	100040005	1.0	ORANGE	0.985302	76.388175	34.591573
ID	100040008	1.0	ORANGE	0.985302	76.388175	43.591573
ID	100040002	1.0	ORANGE	0.985302	76.388175	25.591573
ID	100050004	1.0	MAGENTA	-13.507993	-92.017688	17.666884
ID	100050007	1.0	MAGENTA	-13.507993	-92.017688	26.666884
ID	100050010	1.0	MAGENTA	-13.507993	-92.017688	35.666884
ID	100050008	1.0	ORANGE	-13.507993	-92.017688	29.666884
ID	100050006	1.0	ORANGE	-13.507993	-92.017688	23.666884
ID	100050002	1.0	ORANGE	-13.507993	-92.017688	11.666884
