Time, A_B_binding,
0.0,0,
0.001000000000002041,387,
0.002000009999996102,413,
0.0030000099999901633,435,
0.0040000099999842244,430,
0.005000009999978286,423,
0.006000009999972347,436,
0.007000009999966408,390,
0.00800000999996047,433,
0.00900000999995453,420,
0.010000009999948592,438,
0.011000009999942653,434,
0.012000009999936714,385,
0.013000009999930775,417,
0.014000009999924836,396,
0.015000009999918898,426,
0.016000009999978013,422,
0.017000000000145545,436,
0.018000000000313078,409,
0.01900000000048061,421,
0.020000000000648145,416,
0.02100000000081568,420,
0.022000000000983212,437,
0.023000000001150746,439,
0.02400000000131828,394,
0.025000000001485813,415,
0.026000000001653346,400,
0.02700000000182088,396,
0.028000000001988413,414,
0.029000000002155947,447,
0.03000000000232348,413,
0.031000000002491014,408,
0.03200000000265855,421,
0.03300000000282608,426,
0.034000000002993615,424,
0.03500000000316115,433,
0.03600000000332868,419,
0.037000000003496215,436,
0.03800000000366375,391,
0.03900000000383128,415,
0.040000000003998816,412,
