Time, A_B_binding,
0.0,0,
0.001000000000002041,230,
0.002000009999996102,263,
0.0030000099999901633,286,
0.0040000099999842244,291,
0.005000009999978286,312,
0.006000009999972347,292,
0.007000009999966408,274,
0.00800000999996047,281,
0.00900000999995453,257,
0.010000009999948592,269,
0.011000009999942653,280,
0.012000009999936714,286,
0.013000009999930775,303,
0.014000009999924836,279,
0.015000009999918898,304,
0.016000009999978013,305,
0.017000000000145545,298,
0.018000000000313078,309,
0.01900000000048061,292,
0.020000000000648145,290,
0.02100000000081568,315,
0.022000000000983212,289,
0.023000000001150746,282,
0.02400000000131828,294,
0.025000000001485813,270,
0.026000000001653346,276,
0.02700000000182088,276,
0.028000000001988413,310,
0.029000000002155947,307,
0.03000000000232348,307,
0.031000000002491014,307,
0.03200000000265855,281,
0.03300000000282608,319,
0.034000000002993615,268,
0.03500000000316115,287,
0.03600000000332868,299,
0.037000000003496215,291,
0.03800000000366375,272,
0.03900000000383128,278,
0.040000000003998816,274,
