Time, A_B_binding,
0.0,0,
0.001000000000002041,244,
0.002000009999996102,295,
0.0030000099999901633,283,
0.0040000099999842244,287,
0.005000009999978286,296,
0.006000009999972347,288,
0.007000009999966408,316,
0.00800000999996047,322,
0.00900000999995453,297,
0.010000009999948592,314,
0.011000009999942653,298,
0.012000009999936714,312,
0.013000009999930775,281,
0.014000009999924836,286,
0.015000009999918898,285,
0.016000009999978013,275,
0.017000000000145545,274,
0.018000000000313078,289,
0.01900000000048061,307,
0.020000000000648145,280,
0.02100000000081568,296,
0.022000000000983212,305,
0.023000000001150746,280,
0.02400000000131828,301,
0.025000000001485813,282,
0.026000000001653346,291,
0.02700000000182088,275,
0.028000000001988413,286,
0.029000000002155947,295,
0.03000000000232348,303,
0.031000000002491014,279,
0.03200000000265855,289,
0.03300000000282608,289,
0.034000000002993615,288,
0.03500000000316115,293,
0.03600000000332868,305,
0.037000000003496215,295,
0.03800000000366375,304,
0.03900000000383128,309,
0.040000000003998816,303,
