Cluster size,frequency,foTM
1,0.31957289389608207,0.059390625
2,0.27862787960316127,0.1035625
3,0.1032453337817387,0.0575625
4,0.07087607196906003,0.0526875
5,0.04220615436354464,0.039218750000000004
6,0.029384563645535565,0.032765625
7,0.02068269715823104,0.02690625
8,0.016983352951067766,0.02525
9,0.014250882798049437,0.023835937499999998
10,0.010257272574407264,0.0190625
11,0.007945182444930216,0.016242187499999998
12,0.007819068437867832,0.0174375
13,0.0062216243484109635,0.01503125
14,0.005128636287203632,0.01334375
15,0.004371952244829325,0.0121875
16,0.002858584160080713,0.0085
17,0.003867496216579788,0.01221875
18,0.0041617622330586855,0.013921874999999998
19,0.0030687741718513537,0.0108359375
20,0.002564318143601816,0.00953125
21,0.002564318143601816,0.010007812500000001
22,0.0020178241129981504,0.00825
23,0.0024382041365394315,0.010421875
24,0.0014713300823944845,0.0065625
25,0.0014292920800403565,0.006640625000000001
26,0.0010089120564990752,0.004875
27,0.0018496721035816377,0.00928125
28,0.0013452160753321001,0.007
29,0.0011350260635614596,0.0061171875
30,0.001261140070623844,0.007031249999999999
31,0.0013452160753321001,0.00775
32,0.0013452160753321001,0.008
33,0.0007566840423743064,0.004640625000000001
34,0.0007146460400201782,0.0045156250000000005
35,0.0008827980494366908,0.005742187500000001
36,0.0007987220447284345,0.0053437499999999995
37,0.0005885320329577938,0.004046875
38,0.0008407600470825626,0.0059375
39,0.0006726080376660501,0.004875
40,0.0008407600470825626,0.00625
41,0.0005885320329577938,0.0044843750000000005
42,0.000630570035311922,0.004921875
43,0.00033630401883302503,0.0026875
44,0.0006726080376660501,0.0055
45,0.0007146460400201782,0.0059765625
46,0.0005885320329577938,0.00503125
47,0.0004203800235412813,0.003671875
48,0.0002942660164788969,0.002625
49,0.0004203800235412813,0.003828125
50,0.00046241802589540944,0.004296875
51,0.0002522280141247688,0.002390625
52,0.0003783420211871532,0.0036562499999999998
53,0.00046241802589540944,0.0045546875
54,0.0002522280141247688,0.00253125
55,0.0004203800235412813,0.004296875
56,0.0005464940306036657,0.0056875
57,0.0001261140070623844,0.0013359375
58,0.0002942660164788969,0.003171875
59,0.00033630401883302503,0.0036875
60,0.0002942660164788969,0.00328125
61,0.0004203800235412813,0.004765625
62,0.00033630401883302503,0.003875
63,0.0002942660164788969,0.0034453125
64,0.00016815200941651252,0.002
65,0.00021019001177064066,0.0025390625
66,0.00033630401883302503,0.004125
67,4.203800235412813e-05,0.0005234375
68,0.0002522280141247688,0.0031875000000000002
69,0.0002522280141247688,0.0032343750000000003
70,0.0003783420211871532,0.004921875000000001
71,0.0002942660164788969,0.0038828124999999995
72,0.0002522280141247688,0.0033749999999999995
73,0.00021019001177064066,0.0028515625
74,0.00016815200941651252,0.0023125
75,0.0001261140070623844,0.0017578124999999998
76,0.0002522280141247688,0.0035624999999999997
77,0.0001261140070623844,0.0018046874999999999
78,8.407600470825626e-05,0.00121875
79,0.00033630401883302503,0.0049375
80,8.407600470825626e-05,0.00125
81,0.00016815200941651252,0.00253125
82,8.407600470825626e-05,0.00128125
83,0.00016815200941651252,0.00259375
84,0.00016815200941651252,0.002625
85,0.0001261140070623844,0.0019921875
86,0.00021019001177064066,0.0033593749999999995
87,8.407600470825626e-05,0.001359375
88,4.203800235412813e-05,0.0006875
89,4.203800235412813e-05,0.0006953125
90,0.0002522280141247688,0.00421875
91,8.407600470825626e-05,0.001421875
92,0.00016815200941651252,0.002875
93,4.203800235412813e-05,0.0007265625
94,0.0001261140070623844,0.0022031250000000002
95,8.407600470825626e-05,0.001484375
96,0.0001261140070623844,0.0022500000000000003
97,0.00016815200941651252,0.00303125
98,0.0002942660164788969,0.005359375
99,0.0002522280141247688,0.004640625000000001
100,8.407600470825626e-05,0.0015625
101,4.203800235412813e-05,0.0007890625
102,0.0001261140070623844,0.002390625
103,0.0001261140070623844,0.0024140625
104,0.0001261140070623844,0.0024375
105,8.407600470825626e-05,0.001640625
106,0.00021019001177064066,0.004140625
107,8.407600470825626e-05,0.001671875
108,0.00016815200941651252,0.003375
109,8.407600470825626e-05,0.001703125
110,8.407600470825626e-05,0.00171875
111,0.0001261140070623844,0.0026015625
112,0.00016815200941651252,0.0035
113,4.203800235412813e-05,0.0008828125
114,4.203800235412813e-05,0.000890625
115,4.203800235412813e-05,0.0008984375
116,0.00016815200941651252,0.003625
117,0.0002522280141247688,0.0054843750000000005
118,0.0001261140070623844,0.002765625
120,4.203800235412813e-05,0.0009375
121,0.0001261140070623844,0.0028359375
122,0.00021019001177064066,0.004765625
123,0.0001261140070623844,0.0028828125
124,0.0001261140070623844,0.00290625
127,8.407600470825626e-05,0.001984375
128,4.203800235412813e-05,0.001
130,8.407600470825626e-05,0.00203125
131,0.0001261140070623844,0.0030703125
133,4.203800235412813e-05,0.0010390625
136,0.00016815200941651252,0.00425
138,8.407600470825626e-05,0.00215625
139,4.203800235412813e-05,0.0010859375
140,4.203800235412813e-05,0.00109375
141,8.407600470825626e-05,0.002203125
144,4.203800235412813e-05,0.001125
146,4.203800235412813e-05,0.001140625
147,8.407600470825626e-05,0.002296875
150,8.407600470825626e-05,0.00234375
151,8.407600470825626e-05,0.002359375
154,4.203800235412813e-05,0.001203125
155,4.203800235412813e-05,0.0012109375
156,8.407600470825626e-05,0.0024375
157,4.203800235412813e-05,0.0012265625
158,4.203800235412813e-05,0.001234375
160,4.203800235412813e-05,0.00125
162,4.203800235412813e-05,0.001265625
166,4.203800235412813e-05,0.001296875
170,4.203800235412813e-05,0.001328125
171,4.203800235412813e-05,0.0013359375
172,4.203800235412813e-05,0.00134375
173,4.203800235412813e-05,0.0013515625
174,4.203800235412813e-05,0.001359375
175,4.203800235412813e-05,0.0013671875
179,4.203800235412813e-05,0.0013984375
189,0.0001261140070623844,0.0044296875
212,4.203800235412813e-05,0.00165625
