Time (ms),ACS,ACO,std_ACO
0.0,1.0,1.0,0.0
1.0,4.90808957610195,30.456187499999995,18.918266418807214
2.0,5.222777135091302,36.07787499999999,23.123734330566613
3.0,5.315235734998736,33.886624999999995,19.461141972932243
4.0,5.430917334828642,36.305625000000006,18.80014163219589
5.0,5.356912920701554,32.77368749999999,20.057566260465617
6.0,5.310054457748652,34.74187500000001,21.434942640828897
7.0,5.48619242807082,36.6633125,22.26895259617005
8.0,5.493375641237838,37.000875,22.237372277247033
9.000000000000002,5.46824253987205,36.30937500000002,20.976403549211547
10.0,5.34069273091622,32.3305,16.45107959223345
11.0,5.386920016913364,33.635625000000005,19.742815039986702
12.0,5.394290644926358,33.8904375,20.45186231692529
13.000000000000002,5.347298896832701,32.336500000000015,18.68796944895298
14.0,5.3243830390265625,33.43600000000001,16.867899805362555
15.0,5.462564059709369,38.41499999999999,24.2824998552198
16.0,5.483031577647348,35.04962499999999,22.555580376247804
17.0,5.5988622694161245,38.17937500000001,22.60112228442705
18.000000000000004,5.494196915329018,34.123125000000016,19.877543597062612
19.0,5.505216736471332,37.90199999999998,21.930897348261883
20.0,5.526410810085025,34.87075,20.955814636843634
21.0,5.498727555130655,34.98362500000001,17.897221060911246
22.0,5.4214197012077445,36.22618749999999,21.21534187826628
23.0,5.599038160760643,37.10743749999999,24.99632156836719
24.0,5.5112804676805,42.11712499999998,26.247577531376585
25.0,5.4744898884616635,37.643812500000024,19.62327097269894
26.000000000000004,5.488702170118197,39.725187500000004,23.512905788879408
27.0,5.5153064099668105,36.8254375,24.818575802948864
28.0,5.6620045903524865,42.361374999999995,27.815279431063153
29.0,5.39182911531809,35.490062500000015,19.18605405982999
30.0,5.5325364603319,36.671062499999984,18.169754673267295
31.0,5.503175284662554,37.6138125,20.013545496874578
32.0,5.452852105496377,36.528749999999995,23.954134885756154
33.0,5.571722814952378,35.098187499999995,19.791117311794675
34.0,5.644580655709143,35.754937500000004,19.86999188661683
35.0,5.4282163374221675,35.32843750000001,20.37465169132883
36.00000000000001,5.399458949467374,36.14062499999999,20.986013096896826
37.0,5.483000707576544,35.79012500000001,19.36362194498036
38.0,5.527997851109141,36.947750000000006,21.218045450747816
39.0,5.443191250571207,32.61343749999999,16.86803523807585
40.0,5.46362796917757,36.711875000000006,24.084563512951092
