,Time,FREE poly_A (mean count),FREE poly_A (stdev),FREE poly_B (mean count),FREE poly_B (stdev)
0,0.0,160.0,0.0,160.0,0.0
1,0.001000000000002,59.35,5.127133702177075,59.81,5.216694355624067
2,0.0020000099999961,48.2,5.126402247190518,47.48,5.348794256652616
3,0.0030000099999901,43.98,5.491775669125608,43.3,5.200961449578337
4,0.0040000099999842,42.67,4.684132790602759,41.38,5.279734841826813
5,0.0050000099999782,42.36,4.71915246628036,40.71,5.060227267623461
6,0.0060000099999723,41.7,5.197114584074512,40.1,5.1643005334701435
7,0.0070000099999664,40.69,5.610160425513697,40.73,5.871720361188875
8,0.0080000099999604,41.72,5.346176203605714,40.53,4.410113377227392
9,0.0090000099999545,40.99,4.528785709216103,39.5,5.154609587543949
10,0.0100000099999485,40.9,5.292447448959697,39.62,4.696338999689012
11,0.0110000099999426,41.39,5.155375834990113,40.06,4.636421033512808
12,0.0120000099999367,40.48,4.385156781689795,38.86,5.106897296793817
13,0.0130000099999307,40.66,4.996438731736836,38.89,4.404304712437593
14,0.0140000099999248,40.88,4.748220719385314,39.06,4.757772588092034
15,0.0150000099999188,40.02,4.758108868027296,40.15,4.809105946015331
16,0.016000009999978,40.16,4.4197737498654845,39.11,4.601945240873689
17,0.0170000000001455,40.66,4.628649911151198,39.03,4.994907406549193
18,0.018000000000313,40.46,4.311426678026661,39.42,4.485933570618272
19,0.0190000000004806,40.7,5.096076922496364,39.55,5.097793640389929
20,0.0200000000006481,39.8,5.433231082882451,38.93,4.517200460462209
21,0.0210000000008156,40.17,5.1634387766293885,39.48,4.9829308644611965
22,0.0220000000009832,40.03,4.809272294224977,39.13,4.627429091839225
23,0.0230000000011507,40.83,4.816752017698234,39.99,4.550813114158831
24,0.0240000000013182,40.52,5.127338490874188,38.8,4.876474136094645
25,0.0250000000014858,39.93,5.430018416175031,38.87,5.043124031788234
26,0.0260000000016533,39.6,5.24785670536077,39.05,5.146600819958744
27,0.0270000000018208,40.3,5.034878350069642,39.9,4.22965719651132
28,0.0280000000019884,39.93,4.658873254339508,39.48,4.852793010215869
29,0.0290000000021559,40.43,4.883144478714509,39.69,5.540207577338598
30,0.0300000000023234,41.06,4.853493587097852,39.51,4.343949815548057
31,0.031000000002491,40.61,4.806027465589435,39.31,5.039236053212829
32,0.0320000000026585,40.9,5.202883815731425,39.47,4.6118434492077025
33,0.033000000002826,39.87,4.607938801676948,38.36,4.194091081509794
34,0.0340000000029936,39.99,4.620595199755114,39.37,4.815921510988317
35,0.0350000000031611,40.34,4.405042565061091,38.85,4.65483619475487
36,0.0360000000033286,40.52,4.544183094902757,38.97,5.058566990759338
37,0.0370000000034962,40.76,4.571914259913457,39.56,4.9362333818408555
38,0.0380000000036637,40.06,4.634263695561569,39.31,4.335193190620229
39,0.0390000000038312,40.54,4.425878443879813,39.19,4.446785355737332
40,0.0400000000039988,39.72,5.028081144929944,38.9,5.214403129793477
