AVERAGES,,,,,,,,STANDARD DEVIATIONS
Time, TOTAL R, FREE R, BOUND R, TOTAL Adapter, FREE Adapter, BOUND Adapter, , TOTAL R, FREE R, BOUND R, TOTAL Adapter, FREE Adapter, BOUND Adapter, 
0.0, 5.0, 5.0, 0.0, 5.0, 5.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1.00009999999987E-4, 5.0, 5.0, 0.0, 5.0, 5.0, 0.0, , 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
2.0000999999993522E-4, 5.0, 4.958333333333333, 0.041666666666666664, 5.0, 4.958333333333333, 0.041666666666666664, , 0.0, 0.2041241452319315, 0.2041241452319315, 0.0, 0.2041241452319315, 0.2041241452319315, 
3.0000999999988347E-4, 5.0, 4.791666666666667, 0.20833333333333334, 5.0, 4.791666666666667, 0.20833333333333334, , 0.0, 0.41485111699905347, 0.41485111699905336, 0.0, 0.41485111699905347, 0.41485111699905336, 
4.000099999998317E-4, 5.0, 4.708333333333333, 0.2916666666666667, 5.0, 4.708333333333333, 0.2916666666666667, , 0.0, 0.4643056214875365, 0.4643056214875366, 0.0, 0.4643056214875365, 0.4643056214875366, 
5.000099999998435E-4, 5.0, 4.625, 0.375, 5.0, 4.625, 0.375, , 0.0, 0.5757792451369143, 0.5757792451369143, 0.0, 0.5757792451369143, 0.5757792451369143, 
6.000000000003338E-4, 5.0, 4.625, 0.375, 5.0, 4.625, 0.375, , 0.0, 0.5757792451369143, 0.5757792451369143, 0.0, 0.5757792451369143, 0.5757792451369143, 
7.000000000008241E-4, 5.0, 4.583333333333333, 0.4166666666666667, 5.0, 4.583333333333333, 0.4166666666666667, , 0.0, 0.5835920751217648, 0.5835920751217647, 0.0, 0.5835920751217648, 0.5835920751217647, 
8.000000000013144E-4, 5.0, 4.583333333333333, 0.4166666666666667, 5.0, 4.583333333333333, 0.4166666666666667, , 0.0, 0.5835920751217648, 0.5835920751217647, 0.0, 0.5835920751217648, 0.5835920751217647, 
9.000000000018047E-4, 5.0, 4.583333333333333, 0.4166666666666667, 5.0, 4.583333333333333, 0.4166666666666667, , 0.0, 0.5835920751217648, 0.5835920751217647, 0.0, 0.5835920751217648, 0.5835920751217647, 
0.001000000000002041, 5.0, 4.541666666666667, 0.4583333333333333, 5.0, 4.541666666666667, 0.4583333333333333, , 0.0, 0.5882299658752715, 0.5882299658752717, 0.0, 0.5882299658752715, 0.5882299658752717, 
0.001100000000001447, 5.0, 4.5, 0.5, 5.0, 4.5, 0.5, , 0.0, 0.5897678246195885, 0.5897678246195885, 0.0, 0.5897678246195885, 0.5897678246195885, 
0.0012000000000008532, 5.0, 4.5, 0.5, 5.0, 4.5, 0.5, , 0.0, 0.5897678246195885, 0.5897678246195885, 0.0, 0.5897678246195885, 0.5897678246195885, 
0.0013000000000002593, 5.0, 4.458333333333333, 0.5416666666666666, 5.0, 4.458333333333333, 0.5416666666666666, , 0.0, 0.5882299658752717, 0.5882299658752717, 0.0, 0.5882299658752717, 0.5882299658752717, 
0.0014000099999996653, 5.0, 4.375, 0.625, 5.0, 4.416666666666667, 0.5833333333333334, , 0.0, 0.7109393663377318, 0.7109393663377318, 0.0, 0.6538625481582945, 0.6538625481582944, 
0.0015000099999990715, 5.0, 4.333333333333333, 0.6666666666666666, 5.0, 4.375, 0.625, , 0.0, 0.761386987626881, 0.7613869876268811, 0.0, 0.7109393663377318, 0.7109393663377318, 
0.0016000099999984776, 5.0, 4.333333333333333, 0.6666666666666666, 5.0, 4.375, 0.625, , 0.0, 0.761386987626881, 0.7613869876268811, 0.0, 0.7109393663377318, 0.7109393663377318, 
0.0017000099999978837, 5.0, 4.333333333333333, 0.6666666666666666, 5.0, 4.375, 0.625, , 0.0, 0.761386987626881, 0.7613869876268811, 0.0, 0.7109393663377318, 0.7109393663377318, 
0.0018000099999972898, 5.0, 4.25, 0.75, 5.0, 4.291666666666667, 0.7083333333333334, , 0.0, 0.7939992333804207, 0.7939992333804207, 0.0, 0.750603621828092, 0.7506036218280918, 
0.001900009999996696, 5.0, 4.25, 0.75, 5.0, 4.291666666666667, 0.7083333333333334, , 0.0, 0.7939992333804207, 0.7939992333804207, 0.0, 0.750603621828092, 0.7506036218280918, 
0.002000009999996102, 5.0, 4.208333333333333, 0.7916666666666666, 5.0, 4.25, 0.75, , 0.0, 0.7790276362049131, 0.7790276362049131, 0.0, 0.7372097807744856, 0.7372097807744856, 
0.002100009999995508, 5.0, 4.083333333333333, 0.9166666666666666, 5.0, 4.208333333333333, 0.7916666666666666, , 0.0, 0.880546602310508, 0.8805466023105079, 0.0, 0.721060008759246, 0.721060008759246, 
0.0022000099999949143, 5.0, 4.041666666666667, 0.9583333333333334, 5.0, 4.166666666666667, 0.8333333333333334, , 0.0, 0.9078961186825509, 0.9078961186825509, 0.0, 0.7613869876268812, 0.7613869876268811, 
0.0023000099999943204, 5.0, 4.041666666666667, 0.9583333333333334, 5.0, 4.166666666666667, 0.8333333333333334, , 0.0, 0.9078961186825509, 0.9078961186825509, 0.0, 0.7613869876268812, 0.7613869876268811, 
0.0024000099999937265, 5.0, 4.041666666666667, 0.9583333333333334, 5.0, 4.166666666666667, 0.8333333333333334, , 0.0, 0.9078961186825509, 0.9078961186825509, 0.0, 0.7613869876268812, 0.7613869876268811, 
0.0025000099999931327, 5.0, 4.041666666666667, 0.9583333333333334, 5.0, 4.166666666666667, 0.8333333333333334, , 0.0, 0.9078961186825509, 0.9078961186825509, 0.0, 0.7613869876268812, 0.7613869876268811, 
