,Time,FREE poly_A (mean uM),FREE poly_A (stdev uM),FREE poly_B (mean uM),FREE poly_B (stdev uM)
0,0.0,265.6483479993364,5.115907697472721e-13,265.6483479993364,5.115907697472721e-13
1,0.001000000000002,22.17333554706957,3.066607781379095,25.93807072887266,2.794599171684154
2,0.0020000099999961,19.604017931263495,2.369826916560077,19.392329403951525,2.8547301452687486
3,0.0030000099999901,19.093475012452274,2.7738725629426577,17.78598704964304,2.439694562485541
4,0.0040000099999842,18.433504897891424,2.484978624895245,16.78150423377054,2.022619299800362
5,0.0050000099999782,18.553876805578625,2.831959173736625,16.76905196745808,2.2780047707143023
6,0.0060000099999723,18.48746471857879,2.5441252902232816,16.702639880458246,2.4232165701165083
7,0.0070000099999664,18.844429686202897,2.6745813869478696,17.408268304831477,2.040905808694263
8,0.0080000099999604,18.238419392329405,2.5760245027187203,16.138137140959653,2.5256792601167812
9,0.0090000099999545,18.582932093641045,2.551182066573935,16.30001660302175,2.5880584256405035
10,0.0100000099999485,18.105595218329736,2.5123422376831632,16.54076041839615,2.657375094227504
11,0.0110000099999426,18.30068072389175,2.1327735022574825,16.578117217333553,2.3205804199925804
12,0.0120000099999367,17.956168022580115,2.5597880749019586,16.23775527145941,2.415497168453236
13,0.0130000099999307,18.33803752282915,2.44181572798058,16.918479163207703,2.1664557760731453
14,0.0140000099999248,18.329736011954175,2.5191495222400198,16.640378548895907,2.5459361509431426
15,0.0150000099999188,18.76971608832808,2.3761615726476535,16.291715092146774,2.3016116682775203
16,0.016000009999978,17.732027228955673,2.513233574427439,16.287564336709284,2.25834665590656
17,0.0170000000001455,18.33803752282916,2.538674778120491,16.756599701145618,2.3440966423574814
18,0.018000000000313,18.616138137140968,2.315046402575527,16.51585588577121,2.2538984228169405
19,0.0190000000004806,18.21766561514196,2.3654899957040687,16.187946206209524,2.3399366079122363
20,0.0200000000006481,18.383695832641543,2.230848600009779,16.179644695334545,2.3720977206138234
21,0.0210000000008156,17.57429852233107,2.2121774217354693,16.275112070396823,2.571656799194114
22,0.0220000000009832,18.2384193923294,2.3871860238420055,16.129835630084678,2.3028427078530864
23,0.0230000000011507,18.400298854391504,2.730714462597336,15.494770048148764,2.2757763487332694
24,0.0240000000013182,18.367092810891585,2.5990325648070893,16.561514195583587,2.2934567131896566
25,0.0250000000014858,18.300680723891745,2.302150562958969,16.58641872820853,2.3596743484020384
26,0.0260000000016533,18.358791300016602,2.364732402507745,16.6403785488959,2.1496705907834848
27,0.0270000000018208,17.839946870330397,2.135102763949927,16.345674912834134,2.4072807061477794
28,0.0280000000019884,18.176158060767065,2.391134169457066,16.01361447783497,2.552751714363309
29,0.0290000000021559,18.105595218329732,2.405132664900263,16.362277934584082,2.263726273752054
30,0.0300000000023234,17.939565000830157,2.5792060848864695,16.495102108583758,2.3732885692497443
31,0.031000000002491,18.275776191266814,2.4120532347106933,16.06757429852233,2.2485412652193197
32,0.0320000000026585,18.130499750954673,2.214248100653938,16.51585588577122,2.6767030756698627
33,0.033000000002826,17.873152913830314,2.459699988767805,15.648347999335881,2.5319608168686702
34,0.0340000000029936,17.68221816370579,2.397398153444072,16.09662958658476,2.1620455942794186
35,0.0350000000031611,18.17200730532957,2.39133951087568,16.341524157396655,2.570557849193655
36,0.0360000000033286,18.109745973767232,2.363857954806423,16.287564336709277,2.4025094538037686
37,0.0370000000034962,18.296529968454266,2.3660616722258583,15.938900879960148,2.201857414888735
38,0.0380000000036637,18.147102772704635,2.2537340710998968,16.22115224970945,2.3755089224418913
39,0.0390000000038312,18.19691183795451,2.305609209608494,16.652830815208368,2.4004719814773576
40,0.0400000000039988,18.047484642204886,2.616938562309486,16.158890918147094,2.1601920686287794
