,Time,FREE poly_A (mean count),FREE poly_A (stdev),FREE poly_B (mean count),FREE poly_B (stdev)
0,0.0,160.0,0.0,160.0,0.0
1,0.001000000000002,13.12,3.7236541192758503,14.85,4.072775466435634
2,0.0020000099999961,10.79,2.902740084816414,11.17,3.039917762045546
3,0.0030000099999901,10.09,3.2034200473868553,9.89,2.767291094193019
4,0.0040000099999842,10.11,3.221474817533111,9.88,2.6805969484426417
5,0.0050000099999782,10.54,2.8121877604455934,9.51,2.879218644007432
6,0.0060000099999723,10.61,3.319322219972024,9.45,2.977834783865619
7,0.0070000099999664,10.05,2.4632295873507206,8.95,3.099596747965774
8,0.0080000099999604,10.29,2.9641018875875367,9.09,2.821683894414823
9,0.0090000099999545,10.43,2.7865929017350206,8.82,2.6660082520502453
10,0.0100000099999485,10.4,3.340658617698012,9.21,2.9369882532962226
11,0.0110000099999426,10.34,2.7612316092642426,9.31,2.5365133549815964
12,0.0120000099999367,9.78,2.985230309373131,9.33,3.0888671062381428
13,0.0130000099999307,9.78,2.609904212801688,9.35,2.543127995205904
14,0.0140000099999248,10.48,2.6437851652507613,9.48,2.8195035023918655
15,0.0150000099999188,10.23,3.055666866659387,9.42,2.650207539042933
16,0.016000009999978,10.37,2.862359166841226,9.18,3.0311054089226266
17,0.0170000000001455,10.3,3.2357379374726873,8.5,2.7147743920996454
18,0.018000000000313,9.53,2.5901930429989193,9.17,2.482156320621245
19,0.0190000000004806,10.09,2.8813017891224098,9.11,2.652904069128772
20,0.0200000000006481,9.75,2.940663190506523,8.88,2.526974475533934
21,0.0210000000008156,10.25,2.940663190506523,8.66,2.6654080363051356
22,0.0220000000009832,10.28,3.043287695897317,9.55,2.7069355367278325
23,0.0230000000011507,10.15,2.937260628544902,8.66,2.9024816967553817
24,0.0240000000013182,10.69,3.0649469815969064,8.99,2.5942050805593606
25,0.0250000000014858,9.8,2.792848008753789,8.79,2.4831230336010335
26,0.0260000000016533,10.03,2.815865763845997,9.05,2.8120277381277736
27,0.0270000000018208,9.73,2.749018006488863,9.21,2.6918209450110173
28,0.0280000000019884,9.24,2.4253659517689283,9.14,2.638257000369753
29,0.0290000000021559,9.76,3.2159601987586837,9.43,2.772201291392817
30,0.0300000000023234,9.77,2.5723724458172836,8.66,2.466657657641205
31,0.031000000002491,9.77,2.7635303508374927,8.64,2.7982851891828324
32,0.0320000000026585,10.12,2.933530296417613,9.4,2.979932885150268
33,0.033000000002826,9.67,2.7461063344306242,8.53,2.487790184079036
34,0.0340000000029936,10.12,3.034073169849403,8.54,2.79077050292567
35,0.0350000000031611,10.24,2.846471499945151,9.1,2.8017851452243803
36,0.0360000000033286,10.05,2.794190401529575,9.36,2.304430515333452
37,0.0370000000034962,10.4,3.316624790355399,8.83,2.963292088201904
38,0.0380000000036637,9.77,2.6452032058048003,9.06,2.986034159215196
39,0.0390000000038312,9.79,3.323537272244739,8.89,2.7125449305034546
40,0.0400000000039988,10.14,3.085514543799787,9.21,2.6619353861429476
