0,12.318772222222222
1,14.647151666666666
2,17.0073575
3,11.966357777777777
4,14.967968888888889
5,13.104740277777779
6,13.494870833333334
7,11.69841361111111
8,14.760327222222223
9,12.288482777777778
10,14.220148611111112
11,12.061221944444444
12,10.809163333333332
13,14.550590833333333
14,14.971289444444444
15,13.897978055555555
16,11.922199444444443
17,14.565874444444445
18,14.725465833333335
19,14.93396861111111
20,14.471953888888889
21,16.017810833333332
22,20.762308055555554
23,17.205233888888888
24,10.921203055555555
