Time, A_B_binding,
0.0,0,
0.001000000000002041,408,
0.002000009999996102,417,
0.0030000099999901633,412,
0.0040000099999842244,426,
0.005000009999978286,406,
0.006000009999972347,411,
0.007000009999966408,414,
0.00800000999996047,424,
0.00900000999995453,391,
0.010000009999948592,425,
0.011000009999942653,424,
0.012000009999936714,421,
0.013000009999930775,429,
0.014000009999924836,406,
0.015000009999918898,422,
0.016000009999978013,419,
0.017000000000145545,425,
0.018000000000313078,410,
0.01900000000048061,409,
0.020000000000648145,416,
0.02100000000081568,399,
0.022000000000983212,420,
0.023000000001150746,424,
0.02400000000131828,426,
0.025000000001485813,420,
0.026000000001653346,407,
0.02700000000182088,428,
0.028000000001988413,432,
0.029000000002155947,409,
0.03000000000232348,422,
0.031000000002491014,402,
0.03200000000265855,422,
0.03300000000282608,436,
0.034000000002993615,431,
0.03500000000316115,417,
0.03600000000332868,413,
0.037000000003496215,437,
0.03800000000366375,397,
0.03900000000383128,418,
0.040000000003998816,412,
