Time, A_B_binding,
0.0,0,
0.001000000000002041,409,
0.002000009999996102,392,
0.0030000099999901633,420,
0.0040000099999842244,395,
0.005000009999978286,384,
0.006000009999972347,414,
0.007000009999966408,424,
0.00800000999996047,416,
0.00900000999995453,418,
0.010000009999948592,425,
0.011000009999942653,404,
0.012000009999936714,431,
0.013000009999930775,398,
0.014000009999924836,432,
0.015000009999918898,422,
0.016000009999978013,432,
0.017000000000145545,445,
0.018000000000313078,395,
0.01900000000048061,408,
0.020000000000648145,416,
0.02100000000081568,416,
0.022000000000983212,425,
0.023000000001150746,438,
0.02400000000131828,448,
0.025000000001485813,438,
0.026000000001653346,400,
0.02700000000182088,419,
0.028000000001988413,441,
0.029000000002155947,433,
0.03000000000232348,432,
0.031000000002491014,416,
0.03200000000265855,415,
0.03300000000282608,428,
0.034000000002993615,433,
0.03500000000316115,444,
0.03600000000332868,416,
0.037000000003496215,432,
0.03800000000366375,426,
0.03900000000383128,432,
0.040000000003998816,402,
